"MeasureName","State","ReportYear","Value"
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,33
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,39
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,28
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,31
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,32
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,45
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Alabama",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,85
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arizona",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arkansas",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arkansas",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arkansas",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Arkansas",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,45
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,53
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,67
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,121
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,34
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,129
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,68
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,42
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,29
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,67
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,77
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,69
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,26
