"Indicator","Phase","State","Value","Year","Month"
"Symptoms of Depressive Disorder","1","Alabama",18.6,"2020","May"
"Symptoms of Depressive Disorder","1","Alaska",19.2,"2020","May"
"Symptoms of Depressive Disorder","1","Arizona",22.4,"2020","May"
"Symptoms of Depressive Disorder","1","Arkansas",26.6,"2020","May"
"Symptoms of Depressive Disorder","1","California",25.4,"2020","May"
"Symptoms of Depressive Disorder","1","Colorado",22,"2020","May"
"Symptoms of Depressive Disorder","1","Connecticut",24.4,"2020","May"
"Symptoms of Depressive Disorder","1","Delaware",21.1,"2020","May"
"Symptoms of Depressive Disorder","1","District of Columbia",26.4,"2020","May"
"Symptoms of Depressive Disorder","1","Florida",22.5,"2020","May"
"Symptoms of Depressive Disorder","1","Georgia",25.6,"2020","May"
"Symptoms of Depressive Disorder","1","Hawaii",20,"2020","May"
"Symptoms of Depressive Disorder","1","Idaho",20.6,"2020","May"
"Symptoms of Depressive Disorder","1","Illinois",23.3,"2020","May"
"Symptoms of Depressive Disorder","1","Indiana",26.4,"2020","May"
"Symptoms of Depressive Disorder","1","Iowa",16.5,"2020","May"
"Symptoms of Depressive Disorder","1","Kansas",22.1,"2020","May"
"Symptoms of Depressive Disorder","1","Kentucky",23.2,"2020","May"
"Symptoms of Depressive Disorder","1","Louisiana",28.1,"2020","May"
"Symptoms of Depressive Disorder","1","Maine",19.5,"2020","May"
"Symptoms of Depressive Disorder","1","Maryland",20.9,"2020","May"
"Symptoms of Depressive Disorder","1","Massachusetts",25.9,"2020","May"
"Symptoms of Depressive Disorder","1","Michigan",25.5,"2020","May"
"Symptoms of Depressive Disorder","1","Minnesota",20.4,"2020","May"
"Symptoms of Depressive Disorder","1","Mississippi",22.9,"2020","May"
"Symptoms of Depressive Disorder","1","Missouri",21,"2020","May"
"Symptoms of Depressive Disorder","1","Montana",18.2,"2020","May"
"Symptoms of Depressive Disorder","1","Nebraska",19.1,"2020","May"
"Symptoms of Depressive Disorder","1","Nevada",23.6,"2020","May"
"Symptoms of Depressive Disorder","1","New Hampshire",19.5,"2020","May"
"Symptoms of Depressive Disorder","1","New Jersey",23.6,"2020","May"
"Symptoms of Depressive Disorder","1","New Mexico",22.4,"2020","May"
"Symptoms of Depressive Disorder","1","New York",28.7,"2020","May"
"Symptoms of Depressive Disorder","1","North Carolina",21.1,"2020","May"
"Symptoms of Depressive Disorder","1","North Dakota",17,"2020","May"
"Symptoms of Depressive Disorder","1","Ohio",21.2,"2020","May"
"Symptoms of Depressive Disorder","1","Oklahoma",20.8,"2020","May"
"Symptoms of Depressive Disorder","1","Oregon",22.5,"2020","May"
"Symptoms of Depressive Disorder","1","Pennsylvania",24.7,"2020","May"
"Symptoms of Depressive Disorder","1","Rhode Island",24.5,"2020","May"
"Symptoms of Depressive Disorder","1","South Carolina",21.6,"2020","May"
"Symptoms of Depressive Disorder","1","South Dakota",17.5,"2020","May"
"Symptoms of Depressive Disorder","1","Tennessee",22.2,"2020","May"
"Symptoms of Depressive Disorder","1","Texas",24.4,"2020","May"
"Symptoms of Depressive Disorder","1","Utah",22.9,"2020","May"
"Symptoms of Depressive Disorder","1","Vermont",20.7,"2020","May"
"Symptoms of Depressive Disorder","1","Virginia",21.5,"2020","May"
"Symptoms of Depressive Disorder","1","Washington",22.1,"2020","May"
"Symptoms of Depressive Disorder","1","West Virginia",23.4,"2020","May"
"Symptoms of Depressive Disorder","1","Wisconsin",22,"2020","May"
"Symptoms of Depressive Disorder","1","Wyoming",18.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Alabama",25.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Alaska",27.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Arizona",32.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Arkansas",33.7,"2020","May"
"Symptoms of Anxiety Disorder","1","California",30.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Colorado",32.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Connecticut",34.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Delaware",29.9,"2020","May"
"Symptoms of Anxiety Disorder","1","District of Columbia",31.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Florida",32.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Georgia",31.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Hawaii",32.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Idaho",26.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Illinois",31.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Indiana",31.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Iowa",22.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Kansas",26.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Kentucky",31.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Louisiana",34.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Maine",29.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Maryland",27.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Massachusetts",37,"2020","May"
"Symptoms of Anxiety Disorder","1","Michigan",32.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Minnesota",28.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Mississippi",30.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Missouri",30.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Montana",22.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Nebraska",24.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Nevada",31.4,"2020","May"
"Symptoms of Anxiety Disorder","1","New Hampshire",31.3,"2020","May"
"Symptoms of Anxiety Disorder","1","New Jersey",31.4,"2020","May"
"Symptoms of Anxiety Disorder","1","New Mexico",27.9,"2020","May"
"Symptoms of Anxiety Disorder","1","New York",36.1,"2020","May"
"Symptoms of Anxiety Disorder","1","North Carolina",30,"2020","May"
"Symptoms of Anxiety Disorder","1","North Dakota",21.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Ohio",31.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Oklahoma",28.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Oregon",31.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Pennsylvania",31,"2020","May"
"Symptoms of Anxiety Disorder","1","Rhode Island",27.6,"2020","May"
"Symptoms of Anxiety Disorder","1","South Carolina",27.8,"2020","May"
"Symptoms of Anxiety Disorder","1","South Dakota",22.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Tennessee",28.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Texas",29.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Utah",28.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Vermont",30.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Virginia",28.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Washington",30.6,"2020","May"
"Symptoms of Anxiety Disorder","1","West Virginia",28.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Wisconsin",27.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Wyoming",24.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alabama",30.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alaska",31.5,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arizona",36.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arkansas",38,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","California",37.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Colorado",35.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Connecticut",40.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Delaware",34.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","District of Columbia",37.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Florida",36.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Georgia",36.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Hawaii",37,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Idaho",33.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Illinois",36.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Indiana",37.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Iowa",28.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kansas",32.5,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kentucky",36.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Louisiana",38.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maine",34.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maryland",32.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Massachusetts",40.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Michigan",39.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Minnesota",32.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Mississippi",34.5,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Missouri",35.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Montana",27.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nebraska",28.6,"2020","May"
